team,players
newcastle united,"['Bruno Guimarães', 'Alexander Isak', 'Anthony Gordon', 'Sven Botman', 'Joelinton', 'Sandro Tonali', 'Joe Willock', 'Harvey Barnes', 'Tino Livramento', 'Sean Longstaff', 'Lewis Miley']"
fc barcelona,"['Gavi', 'Pedri', 'Lamine Yamal', 'Frenkie de Jong', 'Ronald Araujo', 'Raphinha', 'Jules Koundé', 'Andreas Christensen', 'Alejandro Balde', 'Vitor Roque', 'Ferran Torres']"
manchester united,"['Bruno Fernandes', 'Rasmus Højlund', 'Marcus Rashford', 'Lisandro Martínez', 'André Onana', 'Mason Mount', 'Alejandro Garnacho', 'Luke Shaw', 'Diogo Dalot', 'Kobbie Mainoo', 'Scott McTominay']"
bayern munich,"['Harry Kane', 'Jamal Musiala', 'Leroy Sané', 'Kingsley Coman', 'Matthijs de Ligt', 'Joshua Kimmich', 'Alphonso Davies', 'Min-jae Kim', 'Dayot Upamecano', 'Serge Gnabry', 'Mathys Tel']"
paris saint-germain,"['Kylian Mbappé', 'Achraf Hakimi', 'Ousmane Dembélé', 'Manuel Ugarte', 'Randal Kolo Muani', 'Nuno Mendes', 'Warren Zaïre-Emery', 'Marquinhos', 'Gonçalo Ramos', 'Lucas Hernández', 'Vitinha']"
arsenal fc,"['Bukayo Saka', 'Declan Rice', 'Martin Ødegaard', 'William Saliba', 'Gabriel Martinelli', 'Gabriel Jesus', 'Gabriel Magalhães', 'Kai Havertz', 'Ben White', 'Oleksandr Zinchenko', 'Jurrien Timber']"
manchester city,"['Erling Haaland', 'Phil Foden', 'Rodri', 'Julián Álvarez', 'Bernardo Silva', 'Rúben Dias', 'Josko Gvardiol', 'Jack Grealish', 'Jérémy Doku', 'Kevin De Bruyne', 'Matheus Nunes']"
borussia dortmund,"['Julian Brandt', 'Gregor Kobel', 'Donyell Malen', 'Nico Schlotterbeck', 'Ian Maatsen', 'Karim Adeyemi', 'Jamie Bynoe-Gittens', 'Jadon Sancho', 'Felix Nmecha', 'Youssoufa Moukoko', 'Niklas Süle']"
real madrid,"['Jude Bellingham', 'Vinicius Junior', 'Federico Valverde', 'Rodrygo', 'Aurélien Tchouaméni', 'Eduardo Camavinga', 'Éder Militão', 'Brahim Díaz', 'Thibaut Courtois', 'David Alaba', 'Antonio Rüdiger']"
fc sheriff tiraspol,"['Cristian Tovar', 'Anas Ouahim', 'Rasheed Akanbi', 'Moussa Kyabou', 'Peter Ademo', 'Cedric Badolo', 'Armel Zohouri', 'Jerome Ngom Mbekeli', 'João Paulo', 'Maicol Ferreira', 'Mario García']"
qarabağ fk,"['Leandro Andrade', 'Andrey Lunev', 'Yassine Benzia', 'Juninho', 'Toral Bayramov', 'Aleksey Isayev', 'Elvin Cafarquliyev', 'Abdellah Zoubir', 'Hamidou Keyta', 'Marko Jankovic', 'Luka Gugeshashvili']"
aris limassol,"['Slobodan Urosevic', 'Milosz Matysik', 'Julius Szöke', 'Karol Struski', 'Leo Bengtsson', 'Aleksandr Kokorin', 'Caju', 'Mihlali Mayambela', 'Franz Brorsson', 'Veljko Nikolic', 'Steeve Yago']"
bk häcken,"['Romeo Amane', 'Edward Chilufya', 'Pontus Dahbo', 'Simon Gustafson', 'Valgeir Lunddal Fridriksson', 'Srdjan Hrstic', 'Johan Hammar', 'Jacob Barrett Laursen', 'Simon Sandberg', 'Adam Lundkvist', 'Amor Layouni']"
fk tsc backa topola,"['Milos Pantovic', 'Ifet Djakovac', 'Nemanja Stojic', 'Veljko Ilic', 'Josip Calusic', 'Marko Rakonjac', 'Sasa Jovanovic', 'Aleksandar Cirkovic', 'Ivan Milosavljevic', 'Nemanja Petrovic', 'Nikola Kuveljic']"
molde fk,"['Emil Breivik', 'Mathias Fjørtoft Løvik', 'Casper Øyvann', 'Valdemar Lund', 'Fredrik Gulbrandsen', 'Veton Berisha', 'Mats Møller Dæhli', 'Kristoffer Haugen', 'Eirik Haugan', 'Kristian Eriksen', 'Markus André Kaasa']"
maccabi haifa,"['Anan Khalaili', 'Frantzdy Pierrot', 'Gadi Kinda', 'Ali Mohamed', 'Daniil Lesovoy', 'Abdoulaye Seck', 'Dolev Haziza', 'Dean David', 'Pierre Cornud', 'Show', 'Erik Shuranov']"
lask,"['Marin Ljubicic', 'Sascha Horvath', 'Tobias Lawal', 'Andrés Andrade', 'Maksym Taloverov', 'Moses Usor', 'George Bello', 'Robert Zulj', 'Florian Flecker', 'Valon Berisha', 'Philipp Ziereis']"
bsc young boys,"['Meschack Elia', 'Aurèle Amenda', 'Filip Ugrinic', 'Kastriot Imeri', 'Joel Mvuka', 'Darian Males', 'Mohamed Camara', 'Cheikh Niasse', 'Cedric Itten', 'Joël Monteiro', 'Ebrima Colley']"
