team_name,avg_rating_home,avg_rating_away
1.fc union berlin,72.30992424242424,72.31174242424242
ac milan,73.27648864182954,73.1943522444039
ac sparta prague,70.06558134824178,70.08372913628261
aek athens,70.81818181818181,70.81818181818181
aek larnaca,72.8084175084175,72.9919191919192
ajax amsterdam,74.13922387136674,74.13922387136674
algeria,72.57007575757575,72.05847107438017
argentina,71.81818181818181,71.81818181818181
aris limassol,71.35805307156262,71.35975885569538
arsenal fc,72.70619235836628,72.64841897233201
as monaco,70.6843253968254,70.79520202020203
as roma,75.85518691273812,75.68513620936496
atalanta bc,70.46964886964886,70.46964886964886
athletic bilbao,74.27272727272727,74.27272727272727
atletico de madrid,76.27272727272727,76.27272727272727
australia,64.52380952380953,64.5309644059644
bayer 04 leverkusen,69.87465867465868,69.87672311348783
bayern munich,79.31440763385385,79.28805280514506
belgium,75.18820346320346,75.00641315754952
bk hacken,66.9050505050505,66.9050505050505
borussia dortmund,73.94023374556497,73.94375242785736
bosnia-herzegovina,71.9090909090909,71.2099665486029
brazil,76.52650432900433,76.51978973407545
brighton & hove albion,70.7032196969697,70.77511724386724
bsc young boys,69.59860930735931,69.67756132756134
ca osasuna,69.37544153117143,69.36785749744517
cadiz cf,71.34821348747901,71.34721581091975
cameroon,73.48135822510822,72.12866981503345
canada,70.36818181818181,69.4969696969697
celta de vigo,71.51448770104376,71.51577252124825
celtic fc,70.96500838481153,70.90982255928513
chelsea fc,71.0463336470293,71.10868537863102
chile,70.57243867243868,70.5124057129739
club brugge kv,72.57654363180679,72.58748006379585
colombia,70.85532467532468,70.16233766233766
costa rica,72.20122655122655,72.3467580314601
croatia,73.97877331002331,74.01127344877345
denmark,70.3379329004329,70.05919191919192
deportivo alaves,69.28211503408872,69.2824488100288
dynamo kyiv,72.8084175084175,72.9919191919192
ecuador,73.38484848484848,74.07051767676768
egypt,72.34166666666665,70.85757575757576
eintracht frankfurt,70.94191017316018,70.94191017316018
england,73.95050505050504,73.79319384319385
fc barcelona,73.87797255665762,73.86828044501333
fc copenhagen,72.18667285095856,72.20253930773411
fc midtjylland,71.69929653679654,71.69929653679654
fc nantes,71.28944805194806,71.28944805194806
fc porto,75.13957166199813,75.13705635663356
